Price,Close,High,Low,Open,Volume
Ticker,^STI,^STI,^STI,^STI,^STI
Date,,,,,
2020-09-17,2500.780029296875,2517.6298828125,2494.47998046875,2503.5400390625,273540600
2020-09-18,2497.7099609375,2506.919921875,2492.760009765625,2504.93994140625,333959200
2020-09-21,2485.7099609375,2515.050048828125,2481.659912109375,2499.389892578125,217783900
2020-09-22,2463.2900390625,2481.77001953125,2455.330078125,2479.169921875,277983600
2020-09-23,2481.139892578125,2487.31005859375,2454.840087890625,2463.949951171875,209998700
2020-09-24,2450.820068359375,2474.5400390625,2448.0,2467.14990234375,265928100
2020-09-25,2472.280029296875,2474.1201171875,2457.260009765625,2458.3798828125,176778200
2020-09-28,2483.010009765625,2494.159912109375,2471.070068359375,2473.2099609375,161976900
2020-09-29,2471.610107421875,2503.139892578125,2470.840087890625,2496.77001953125,189327700
2020-09-30,2466.6201171875,2489.169921875,2465.449951171875,2482.489990234375,279317900
2020-10-01,2500.739990234375,2504.1201171875,2477.090087890625,2479.2900390625,212792100
2020-10-02,2496.110107421875,2505.60009765625,2469.1201171875,2500.340087890625,173283700
2020-10-05,2517.22998046875,2522.39990234375,2504.889892578125,2512.909912109375,192050400
2020-10-06,2529.260009765625,2540.7099609375,2525.68994140625,2525.699951171875,203731800
2020-10-07,2538.360107421875,2543.27001953125,2518.239990234375,2523.18994140625,203795200
2020-10-08,2543.110107421875,2546.169921875,2526.320068359375,2545.419921875,164787700
2020-10-09,2532.9599609375,2547.969970703125,2532.409912109375,2547.93994140625,148957600
2020-10-12,2552.419921875,2555.929931640625,2534.3701171875,2537.1298828125,187208400
2020-10-13,2567.64990234375,2570.18994140625,2547.1201171875,2556.39990234375,193880900
2020-10-14,2555.590087890625,2563.43994140625,2548.8701171875,2562.43994140625,175822400
2020-10-15,2523.6201171875,2548.6201171875,2518.139892578125,2543.340087890625,304470800
2020-10-16,2533.02001953125,2545.159912109375,2526.860107421875,2530.3798828125,297188400
2020-10-19,2543.570068359375,2549.52001953125,2537.31005859375,2540.550048828125,191629800
2020-10-20,2528.639892578125,2542.389892578125,2523.2099609375,2542.080078125,219510200
2020-10-21,2525.610107421875,2545.52001953125,2521.699951171875,2536.72998046875,274375000
2020-10-22,2528.409912109375,2530.760009765625,2513.52001953125,2518.75,211242900
2020-10-23,2537.389892578125,2538.429931640625,2524.85009765625,2537.050048828125,195187900
2020-10-26,2523.31005859375,2541.739990234375,2521.18994140625,2540.860107421875,212193400
2020-10-27,2512.8701171875,2519.0,2503.3701171875,2515.330078125,210580100
2020-10-28,2483.47998046875,2507.889892578125,2483.47998046875,2504.280029296875,236950300
2020-10-29,2450.679931640625,2472.919921875,2450.679931640625,2471.10009765625,276975900
2020-10-30,2423.840087890625,2447.85009765625,2420.840087890625,2439.780029296875,397979300
2020-11-02,2443.1298828125,2449.02001953125,2423.699951171875,2428.97998046875,282262600
2020-11-03,2497.219970703125,2497.219970703125,2453.260009765625,2453.2900390625,294810100
2020-11-04,2515.97998046875,2521.139892578125,2489.719970703125,2502.179931640625,297790000
2020-11-05,2588.6201171875,2588.6201171875,2541.760009765625,2543.909912109375,409626000
2020-11-06,2578.679931640625,2591.9599609375,2562.860107421875,2591.9599609375,259721500
2020-11-09,2609.360107421875,2622.97998046875,2600.669921875,2600.9599609375,234278200
2020-11-10,2705.0,2705.0,2662.320068359375,2672.97998046875,687150900
2020-11-11,2713.280029296875,2713.280029296875,2673.889892578125,2698.68994140625,465058000
2020-11-12,2711.89990234375,2725.469970703125,2695.889892578125,2710.7099609375,347342900
2020-11-13,2711.389892578125,2715.919921875,2685.81005859375,2700.719970703125,350637300
2020-11-16,2748.0,2753.43994140625,2724.929931640625,2731.56005859375,370874400
2020-11-17,2778.550048828125,2781.580078125,2764.1298828125,2764.1298828125,416724300
2020-11-18,2788.590087890625,2795.669921875,2774.780029296875,2774.780029296875,364406700
2020-11-19,2777.0,2795.06005859375,2766.550048828125,2782.219970703125,390560200
2020-11-20,2813.010009765625,2814.1298828125,2779.2099609375,2780.77001953125,310379100
2020-11-23,2848.780029296875,2852.27001953125,2825.830078125,2828.320068359375,307802200
2020-11-24,2891.6298828125,2891.6298828125,2864.419921875,2866.1201171875,412882900
2020-11-25,2869.550048828125,2920.550048828125,2858.360107421875,2903.159912109375,482796600
2020-11-26,2857.47998046875,2857.47998046875,2839.800048828125,2856.3701171875,246451300
2020-11-27,2855.820068359375,2866.340087890625,2845.159912109375,2846.949951171875,227818600
2020-11-30,2805.949951171875,2869.889892578125,2797.18994140625,2869.889892578125,959533300
2020-12-01,2814.1201171875,2824.5400390625,2793.219970703125,2802.93994140625,322810700
2020-12-02,2810.949951171875,2817.330078125,2796.7099609375,2805.5,260967600
2020-12-03,2822.340087890625,2822.39990234375,2792.739990234375,2809.739990234375,274284800
2020-12-04,2839.889892578125,2841.4599609375,2819.530029296875,2825.56005859375,273192900
2020-12-07,2825.510009765625,2853.22998046875,2824.22998046875,2842.580078125,370226900
2020-12-08,2825.6298828125,2829.510009765625,2817.27001953125,2820.989990234375,253678100
2020-12-09,2843.070068359375,2849.159912109375,2825.320068359375,2825.719970703125,285016300
2020-12-10,2824.9599609375,2834.7900390625,2820.050048828125,2833.169921875,333477300
2020-12-11,2821.699951171875,2848.969970703125,2818.35009765625,2836.8798828125,290440600
2020-12-14,2858.139892578125,2870.43994140625,2835.219970703125,2836.300048828125,302651900
2020-12-15,2856.719970703125,2863.969970703125,2841.510009765625,2863.10009765625,276181700
2020-12-16,2872.800048828125,2875.47998046875,2862.429931640625,2866.1201171875,291312500
2020-12-17,2858.02001953125,2867.110107421875,2849.429931640625,2866.969970703125,284079500
2020-12-18,2848.97998046875,2862.929931640625,2845.550048828125,2858.449951171875,337801200
2020-12-21,2846.52001953125,2854.610107421875,2831.39990234375,2847.18994140625,237415700
2020-12-22,2827.320068359375,2844.820068359375,2803.969970703125,2842.449951171875,298700400
2020-12-23,2833.39990234375,2838.449951171875,2805.239990234375,2817.8701171875,198717900
2020-12-24,2842.0400390625,2847.800048828125,2834.139892578125,2840.64990234375,88567800
2020-12-28,2840.139892578125,2851.820068359375,2834.580078125,2845.85009765625,146870400
2020-12-29,2848.139892578125,2852.64990234375,2840.3798828125,2848.64990234375,107385800
2020-12-30,2869.219970703125,2878.1298828125,2846.219970703125,2855.06005859375,177736200
2020-12-31,2843.81005859375,2861.610107421875,2843.81005859375,2853.60009765625,105602500
2021-01-04,2858.89990234375,2861.2099609375,2836.25,2846.199951171875,172333900
2021-01-05,2859.679931640625,2859.679931640625,2832.0400390625,2842.06005859375,229983500
2021-01-06,2863.010009765625,2865.0400390625,2852.320068359375,2858.530029296875,257536900
2021-01-07,2906.969970703125,2912.699951171875,2884.179931640625,2892.330078125,361145500
2021-01-08,2993.18994140625,2993.18994140625,2933.7099609375,2935.179931640625,393348900
2021-01-11,2983.89990234375,2993.159912109375,2971.929931640625,2983.5,0
2021-01-12,2977.169921875,2983.659912109375,2968.89990234375,2975.14990234375,296521200
2021-01-13,2977.510009765625,2994.7900390625,2977.510009765625,2982.159912109375,277380200
2021-01-14,3000.0,3001.340087890625,2979.3798828125,2982.0,239603100
2021-01-15,3004.8701171875,3012.530029296875,2991.760009765625,2995.85009765625,294247600
2021-01-18,2990.39990234375,2998.68994140625,2978.7900390625,2995.72998046875,216057700
2021-01-19,2995.919921875,3007.989990234375,2990.929931640625,2996.639892578125,250123400
2021-01-20,2998.77001953125,3001.139892578125,2985.7099609375,2995.699951171875,273957000
2021-01-21,3017.14990234375,3017.14990234375,2997.68994140625,3004.159912109375,276352400
2021-01-22,2991.530029296875,3009.1298828125,2981.179931640625,3009.02001953125,279483400
2021-01-25,2973.64990234375,3004.969970703125,2971.070068359375,2998.0400390625,215048900
2021-01-26,2945.52001953125,2968.97998046875,2935.64990234375,2967.6298828125,294856300
2021-01-27,2958.6298828125,2967.780029296875,2948.7099609375,2952.469970703125,223947400
2021-01-28,2920.300048828125,2930.75,2911.75,2924.47998046875,283495700
2021-01-29,2902.52001953125,2950.75,2887.199951171875,2941.580078125,372873500
2021-02-01,2896.320068359375,2901.780029296875,2873.77001953125,2888.75,304092500
2021-02-02,2917.2900390625,2918.85009765625,2902.010009765625,2906.199951171875,296217000
2021-02-03,2927.469970703125,2939.35009765625,2927.050048828125,2932.719970703125,254094600
2021-02-04,2905.580078125,2936.590087890625,2884.739990234375,2933.080078125,261646300
2021-02-05,2907.110107421875,2917.590087890625,2903.3701171875,2916.06005859375,260483800
2021-02-08,2931.39990234375,2938.14990234375,2908.179931640625,2909.800048828125,263478200
2021-02-09,2935.27001953125,2959.659912109375,2924.800048828125,2946.199951171875,364860400
2021-02-10,2925.840087890625,2938.2099609375,2919.97998046875,2936.10009765625,303329500
2021-02-11,2925.47998046875,2926.340087890625,2914.89990234375,2915.97998046875,152665400
2021-02-15,2931.52001953125,2946.219970703125,2929.06005859375,2929.93994140625,206565900
2021-02-16,2935.340087890625,2945.2900390625,2932.199951171875,2935.580078125,231993800
2021-02-17,2920.429931640625,2928.25,2909.5400390625,2913.81005859375,238155100
2021-02-18,2908.85009765625,2921.7099609375,2901.090087890625,2917.929931640625,286709400
2021-02-19,2880.639892578125,2903.360107421875,2869.300048828125,2896.909912109375,265703400
2021-02-22,2881.2099609375,2897.530029296875,2876.889892578125,2888.2900390625,256284000
2021-02-23,2890.699951171875,2905.219970703125,2875.89990234375,2879.639892578125,314550500
